No,BA,BH,BW,SA,JA,JC,JF,FoS
1,70,10,18,38.69,15,2,3,0.2
2,32,5,20,15.46,22,24,22,4.96
3,33,14,30,21.13,12,30,32,2.9
4,31.5,12,24,21.05,14.5,33,28,2.28
5,28,9.5,15,20.44,8.2,35,23.7,2.9
6,24,7,17.5,15.93,4.5,38,26,4.55
7,22.7,8.2,19.6,15.79,3.4,40,27.4,4.4
8,28.5,7.7,7.7,22.95,2.4,55,29.8,4
9,18.2,11.3,14,15.24,25,15,14,3.17
10,65,8.5,28,25.58,7.3,24.5,23.7,3.12
11,60,6.5,24,24.61,5,29,24.5,4.03
12,58,6.7,26,20.37,2.4,44,33,4.98
13,69,8.3,15.4,37.36,26,16,25,1.86
14,65,9.6,12,42.31,11,8.4,17.8,1.69
15,62,10.3,9.5,43.76,18,7,12.5,0.72
16,55,10.7,11,39.58,13.7,17,8,0.6
17,58,8.6,12.5,36.4,40.7,2,23,1.92
18,68,12.6,10,51.75,5.3,47,27,2.2
19,69.7,13,11,51.14,45,5,10,0.43
20,47,12.5,14.6,33.86,22,15,18.7,1.09
21,50,6.3,8,35.24,35,8,21.9,2.814
22,67,13.7,24,38,23,17.7,15.6,0.83
23,33,12.1,13,25.7,14.9,9,19,1.47
24,66,13.7,10,50.88,9.1,13,17.4,1.64
25,75,10.7,8,56.92,24.3,10,12.3,0.51
26,39.5,7.3,6,31.91,43.8,15.7,19.2,3.35
27,68.8,11.1,9.5,49.83,14.7,21.3,3.4,0.23
28,59.9,9.4,15.3,45.44,3.6,4.7,14.3,2.35
29,62.1,7.6,6.2,47.02,18.8,5,21.1,1.42
30,67.3,7.1,7.3,46.42,12.8,11.2,20.5,1.79
31,72,8.4,8,51.05,36.7,24,24,1.53
32,70,11.3,10.4,50.52,18.5,45,36,2.12
33,67.6,14.4,9.5,53.24,4.5,3,24,1.92
34,65.3,12.8,7.6,52.54,25.4,2.1,16.3,0.65
35,62.1,13.5,10.1,48,32.5,20,21.4,0.78
36,41,13.9,6.8,35.63,12.3,50,24.4,1.94
37,66.6,11.4,7.6,52.43,4.5,23,19.3,2.05
38,69.3,8.7,4.1,57.96,37.6,2.2,30.4,1.13
39,33.7,10.3,5.5,25.59,15.3,20,17.4,1.28
40,59.9,12.8,6.7,50.09,32.3,40,23.6,0.88
41,54.3,10.7,8.9,41.23,46.3,35,18.4,1.6
42,62.8,8.3,5.6,49.76,32.3,15,16.2,0.99
43,47.8,14.1,1.03,38.3,41.3,32,18.9,1.76
44,68.3,9.7,8.1,50.71,20.1,14,20.3,1.06
45,54.3,14.8,7.1,45.86,35.3,12,23.4,1.01
46,69.6,12.6,10.11,52.28,22.3,23.4,17.3,0.78
47,58.8,11.8,11.8,42.47,38.7,28.1,28.7,1.63
48,48.6,14.6,8.3,40.35,9.3,64,20.6,1.8
49,57.7,13.4,9.3,45.4,15.6,42,16,1.04
50,39.8,12.8,7.1,34.05,39.2,7,21.4,2.13
51,57.6,11.6,9.5,43.82,47.6,38,19.2,1.31
52,68.4,14.3,8.1,52,42.1,25,20.3,0.72
53,65.2,12.8,7.4,53.38,38.6,34,23.4,0.88
54,61.8,10.5,10.6,44.36,22.3,15,21.2,1.06
55,64.7,8.6,8,46.8,48,26,19.3,1.18
56,55,14.8,7.1,46.6,32.4,4,20.1,0.8
57,61.4,13.6,10.4,4.74,18.3,17,25.6,1.47
58,69.6,14.3,14.4,48.52,34,38,20.8,0.72
59,48.6,8.4,10.3,33.31,8,10,20,2.54
60,59.3,9.9,8.5,43.8,28.7,12,14.7,0.88
61,67.7,12.1,20.3,38.46,41,8,18.3,1.13
62,66,20,15,50.41,15,5,22,1.36
63,69,18,19,47.89,32,19,17,1.43
64,70,19,14,56.49,38,42,19.5,0.46
65,64,22,12,52.84,24,14,25,1.057
66,62,19,19,44.12,45,3,18.2,0.65
67,59,17,19,40.74,52.1,7,26.4,1.37
68,65,16,18,44.32,43,4,17.6,0.66
69,54,22,17,41.74,27,15,21,0.81
70,58,21,16,44.63,25,22,25,1.02
71,52,14,14,37.39,40,2,18.6,1.36
72,67,22,15.1,52.29,28.7,11,21.3,0.73
73,63,24,20,47.26,37.6,13,19.9,0.56
74,68,23.1,22.1,48.45,23.5,28,20.1,0.85
75,66.6,19.5,22,45,18.9,14.3,17.6,0.93
76,61.3,18.8,16.3,45.7,5,29,32.3,2.03
77,70,21.2,22,48.27,23.3,20.4,27.7,1.23
78,65.8,20,19.1,46.95,18.9,15,33.4,1.682
79,64.4,18.7,20.2,44.3,15,15,15,1
80,69.7,19.1,14.1,53.58,31.1,8,18.3,0.57
81,63.9,22,18,47.95,29.8,19,19,0.62
82,68.3,15.4,10.3,51.34,19.7,21.2,24.3,1.28
83,62.5,14.7,12.8,46.48,21.3,24.7,26.8,1.33
84,61.8,17.3,18.4,43.21,25.6,33,21.2,0.88
85,62.6,16.3,20.5,40.82,12.1,6,23.81,1.76
86,59.7,18.3,19.9,41.54,16.6,13,26,1.58
87,68.6,20.3,18.6,49.62,14.3,14.1,19.8,1.3
88,69.8,18.8,14.4,52.95,28.6,7,17.6,0.6
89,68.8,19.4,12.2,54.69,31.4,18,22.3,0.71
90,59.8,20.4,15.6,45.85,30.9,25,23.5,0.78
91,58.7,19.1,11.1,48.1,18.8,3,18.3,0.98
92,60.2,18.5,19,42.63,19,23,24.2,1.32
93,70.2,18.6,15.3,52.34,20,12,18.4,0.92
94,60.5,17.5,22,39.72,14.7,3,23.4,1.57
95,65.3,14.6,23,38.53,8,12,24.7,2.1
96,69.2,16.8,12.4,53.2,25,30,21.6,0.86
97,54,24,20,41.25,32,24,12,0.79
98,60,20,24,40.38,18,18,24,1.38
99,53,22,17,41.25,14,14,16,1.14
100,65,18.8,21.3,44.01,21,21,21,1.01
101,68,14.5,8.3,55.5,26.5,18,19.1,0.72
102,67.7,19.5,15.2,51.39,19.3,14.2,14.3,0.73
103,66.8,17.7,12.4,52.17,15.2,7,15.3,1.01
104,65.4,18.3,10.1,53.63,36.2,9,18.6,0.52
105,55.5,10.5,15.8,34.72,8,15,20.3,2.29
106,62.3,16.7,9.3,51.24,32.1,12,19.9,0.65
107,60.1,12.4,15.4,40,22.3,10,21.5,1.14
108,64.5,18.3,10.3,52.82,15.3,11,20.1,1.3
109,68.7,19.3,9.1,57.88,24.8,12.2,21.1,0.84
110,68.3,17.6,8.2,57.45,25.7,15.3,22.2,0.85
111,58.1,15.2,19.6,38.25,18.1,19.3,24.6,1.42
112,64.4,19.7,10.3,53.86,24.6,17.6,21.3,0.86
113,60.5,14.1,21.4,36.93,17.6,12.4,25.6,1.56
114,54.3,8.4,12.4,34.61,15.3,20.1,22.6,1.69
115,69.9,18.7,9.5,58.06,18.6,14.3,21.3,1.16
116,52.4,10.3,16.6,32.63,12.4,24.3,19.9,1.74
117,68.8,16.6,7.4,58.4,18.8,12.5,18.3,0.98
118,60.4,12.2,20.4,35.68,7,6,21.5,2.25
119,65.6,17.7,6.8,57.23,19.3,15,20.6,1.08
120,67.6,11.3,15.4,42.36,12.6,8,22.4,1.84
121,68.8,19.4,8.5,58.87,29.4,12,18.7,0.61
122,68.3,19.8,7.4,59.74,28.5,15,20.4,0.69
123,65.7,15.3,18.4,43.26,36.8,2,17.4,0.65
124,66.6,20.1,14.3,51.76,28.8,4,19.1,0.64
125,69.3,18.5,11.1,55.96,27.9,3,21.1,0.74
